itag,logFC,logCPM,PValue,FDR,chromosome,begin,end,Human.readable.description,Subject.ID,Description,Score,E.Value,Identities
Solyc01g107490.1.1,2.109330429,1.116758863,0.001016266,0.034054801,SL2.40ch01,86785050,86786211,BHLH transcription factor (AHRD V1 *-*- Q7XJU1_ARATH); contains Interpro domain(s)  IPR011598  Helix-loop-helix DNA-binding ,AT3G19500.1 ,ethylene-responsive protein -related | chr3:6759289-6760893 REVERSE, 146 bits (369),1.00E-35, 99/222 (44%)
Solyc11g066670.1.1,-0.467864342,5.856367985,0.001020289,0.034111192,SL2.40ch11,49527008,49528411,UDP-glucosyltransferase (AHRD V1 *-*- B8QI32_9MAGN); contains Interpro domain(s)  IPR002213  UDP-glucuronosyl/UDP-glucosyltransferase ,AT2G36770.1 ,UDP-glucoronosyl/UDP-glucosyl transferase family protein | chr2:15415227-15416717 REVERSE, 186 bits (473),2.00E-47, 139/486 (28%)
Solyc00g019990.1.1,-0.743307995,3.361054363,0.00102191,0.034111192,,,,,,,,,
Solyc11g073200.1.1,0.899457198,3.816425058,0.001032369,0.034393671,SL2.40ch11,53332788,53334317,Legumin 11S-globulin (AHRD V1 **-- Q39770_GINBI); contains Interpro domain(s)  IPR014710  RmlC-like jelly roll fold ,AT1G07750.1 ,cupin family protein | chr1:2404300-2405863 REVERSE, 582 bits (1499), e-166, 275/356 (77%)
Solyc01g080020.2.1,0.355678133,8.982130377,0.001035437,0.03442041,SL2.40ch01,71657539,71659169,Xylanase inhibitor (Fragment) (AHRD V1 **-- Q53IQ4_WHEAT); contains Interpro domain(s)  IPR001461  Peptidase A1 ,AT1G03230.1 ,"extracellular dermal glycoprotein, putative / EDGP, putative | chr1:790110-791414 FORWARD", 302 bits (773),3.00E-82, 170/410 (41%)
Solyc07g045510.2.1,-1.19211678,1.868868294,0.001037169,0.03442041,SL2.40ch07,55952757,55956284,Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7M2R8_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat ,AT5G09950.1 ,pentatricopeptide (PPR) repeat-containing protein | chr5:3102877-3105864 REVERSE, 1075 bits (2780),0, 541/980 (55%)
Solyc08g005630.2.1,-1.041790587,2.464997076,0.001046924,0.034677355,SL2.40ch08,487545,495698,Glucose-methanol-choline oxidoreductase (AHRD V1 ***- D6TF66_9CHLR); contains Interpro domain(s)  IPR012400  Long-chain fatty alcohol dehydrogenase ,AT4G19380.1 ,alcohol oxidase-related | chr4:10568427-10572288 REVERSE, 792 bits (2046),0, 421/750 (56%)
Solyc05g010340.2.1,-0.652519903,3.890646098,0.001051728,0.034748643,SL2.40ch05,4488286,4494949,Uridine kinase (AHRD V1 *-** C3SA58_BRADI); contains Interpro domain(s)  IPR000764  Uridine kinase ,AT1G26190.1 ,phosphoribulokinase/uridine kinase family protein | chr1:9057285-9060433 REVERSE, 993 bits (2566),0, 491/659 (74%)
Solyc07g042550.2.1,0.958295419,3.442786005,0.001053627,0.034748643,SL2.40ch07,53300389,53305994,"Sucrose synthase (AHRD V1 **** O82691_SOLLC); contains Interpro domain(s)  IPR012820  Sucrose synthase, plants and cyanobacteria  IPR000368  Sucrose synthase ",AT3G43190.1 ,"SUS4, ATSUS4 | SUS4; UDP-glycosyltransferase/ sucrose synthase/ transferase, transferring glycosyl groups | chr3:15179204-15182577 REVERSE", 1346 bits (3483),0, 642/804 (79%)
Solyc05g044480.2.1,0.388236052,6.691378803,0.001056525,0.034748643,SL2.40ch05,55714270,55722184,"Chromodomain-helicase-DNA-binding protein 3 (AHRD V1 *--* CHD3_DROME); contains Interpro domain(s)  IPR014001  DEAD-like helicase, N-terminal ",AT1G05120.1 ,SNF2 domain-containing protein / helicase domain-containing protein / RING finger domain-containing protein | chr1:1471624-1476067 REVERSE, 1087 bits (2811),0, 523/780 (67%)
Solyc01g100480.2.1,0.485972513,5.468857506,0.001057526,0.034748643,SL2.40ch01,82248236,82253849,Unknown Protein (AHRD V1),AT1G56423.1 ,unknown protein | chr1:21129075-21130558 FORWARD, 315 bits (806),3.00E-86, 161/270 (59%)
Solyc04g080340.2.1,-0.304822692,7.079506259,0.001060616,0.034748643,SL2.40ch04,62148519,62153295,Wyosine base formation domain protein (AHRD V1 *--- D3TCK2_ACIB4); contains Interpro domain(s)  IPR013917  Wyosine base formation ,AT1G75200.1 ,flavodoxin family protein / radical SAM domain-containing protein | chr1:28220849-28223597 REVERSE, 922 bits (2384),0, 458/662 (69%)
Solyc07g007600.2.1,-0.281960474,9.036165076,0.001061866,0.034748643,SL2.40ch07,2247006,2251786,Pyrophosphate-energized proton pump (AHRD V1 ***- B0SRX3_LEPBP); contains Interpro domain(s)  IPR004131  Inorganic H+ pyrophosphatase ,AT1G15690.1 ,"AVP1, ATAVP3, AVP-3 | AVP1; ATPase/ hydrogen-translocating pyrophosphatase | chr1:5399115-5402185 FORWARD", 1373 bits (3553),0, 675/765 (88%)
Solyc02g088320.2.1,-1.608019289,0.923921442,0.001063199,0.034748643,SL2.40ch02,45032710,45036500,cDNA clone J075153F01 full insert sequence (AHRD V1 **-- B7F9A7_ORYSJ); contains Interpro domain(s)  IPR009769  Protein of unknown function DUF1336 ,AT3G29180.1 ,unknown protein | chr3:11149073-11151322 FORWARD, 441 bits (1133), e-124, 213/312 (68%)
Solyc04g077130.1.1,-0.65598783,4.041364714,0.001066491,0.034790234,SL2.40ch04,59671130,59671465,"50S ribosomal protein 6, chloroplastic (AHRD V1 ***- PSRP6_ARATH)",AT5G17870.1 ,PSRP6 | PSRP6 (PLASTID-SPECIFIC 50S RIBOSOMAL PROTEIN 6) | chr5:5907817-5908137 FORWARD, 105 bits (262),6.00E-24, 61/116 (52%)
Solyc10g086710.1.1,1.588606326,1.087014104,0.001082968,0.035260934,SL2.40ch10,64793100,64793774,PAR-1b protein (AHRD V1 ***- Q43588_TOBAC); contains Interpro domain(s)  IPR009489  PAR1 ,AT3G54040.1 ,photoassimilate-responsive protein-related | chr3:20014032-20015299 REVERSE, 173 bits (438),6.00E-44, 84/163 (51%)
Solyc09g007230.2.1,0.269908037,7.528961781,0.001087199,0.035300547,SL2.40ch09,832874,838682,"Zinc finger CCCH domain-containing protein 15 (AHRD V1 *-*- B9ELB3_SALSA); contains Interpro domain(s)  IPR000571  Zinc finger, CCCH-type ",AT2G20280.1 ,zinc finger (CCCH-type) family protein | chr2:8740054-8742349 REVERSE, 447 bits (1151), e-126, 266/373 (71%)
Solyc05g015650.2.1,0.500097597,5.266425164,0.001088283,0.035300547,SL2.40ch05,11602390,11617832,Calmodulin-binding transcription activator 2 (AHRD V1 **** Q0WNN4_ARATH); contains Interpro domain(s)  IPR005559  CG-1 ,AT1G67310.1 ,calmodulin binding / transcription regulator | chr1:25198182-25203126 REVERSE, 872 bits (2254),0, 514/990 (51%)
Solyc09g065170.1.1,0.876909974,5.04385599,0.001108129,0.035876707,SL2.40ch09,58687977,58690987,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc12g088670.1.1,-0.492648136,5.238212057,0.001113192,0.035973012,SL2.40ch12,62390540,62394311,"Cathepsin B-like cysteine proteinase (AHRD V1 **-- CYSP_SCHMA); contains Interpro domain(s)  IPR013128  Peptidase C1A, papain  IPR000169  Peptidase, cysteine peptidase active site  IPR000668  Peptidase C1A, papain C-terminal ",AT1G47128.1 ,"RD21, RD21A | RD21 (responsive to dehydration 21); cysteine-type endopeptidase/ cysteine-type peptidase | chr1:17283139-17285609 REVERSE", 597 bits (1540), e-171, 298/452 (65%)
Solyc05g011990.2.1,-0.387100932,7.501039016,0.001117672,0.03605015,SL2.40ch05,5194960,5203690,Nucleolar protein 14 (AHRD V1 *--- A8NZ00_COPC7); contains Interpro domain(s)  IPR007276  Nop14-like protein ,AT1G69070.1 ,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Nop14-like protein (InterPro:IPR007276); Has 64668 Blast hits to 30830 proteins in 1152 species: Archae - 207; Bacteria - 18692; Metazoa - 20758; Fungi - 6782; Plants - 2177; Viruses - 523; Other Eukaryotes - 15529 (source: NCBI BLink). | chr1:25967421-25971389 REVERSE, 813 bits (2100),0, 475/923 (51%)
Solyc03g116140.2.1,-0.367792523,6.48372156,0.001129513,0.036363985,SL2.40ch03,59688614,59692801,"Activating signal cointegrator 1 (AHRD V1 **-- C3KH38_ANOFI); contains Interpro domain(s)  IPR009349  Zinc finger, C2HC5-type ",AT3G47610.1 ,transcription regulator/ zinc ion binding | chr3:17549178-17551204 FORWARD, 470 bits (1210), e-133, 246/405 (60%)
Solyc05g050520.2.1,1.181937987,2.267162812,0.001139082,0.036557,SL2.40ch05,59808260,59811841,NC domain-containing protein (AHRD V1 **-- A6MD14_9ORYZ); contains Interpro domain(s)  IPR007053  NC ,AT4G00905.1 ,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: NC (InterPro:IPR007053); BEST Arabidopsis thaliana protein match is: NC domain-containing protein-related (TAIR:AT1G01225.1); Has 84 Blast hits to 83 proteins in 19 species: Archae - 0; Bacteria - 10; Metazoa - 6; Fungi - 0; Plants - 66; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink). | chr4:387865-389060 FORWARD, 353 bits (905),8.00E-98, 174/246 (70%)
Solyc03g006780.2.1,1.336202603,1.6756407,0.001139753,0.036557,SL2.40ch03,1308096,1310585,Serine/threonine kinase receptor (AHRD V1 **** Q7DMS5_BRANA); contains Interpro domain(s)  IPR000858  S-locus glycoprotein ,AT1G11410.1 ,"S-locus protein kinase, putative | chr1:3841286-3844284 FORWARD", 471 bits (1213), e-133, 265/622 (42%)
Solyc02g069250.2.1,1.647937006,0.951242238,0.001148115,0.03671649,SL2.40ch02,33766134,33768061,"Cinnamyl alcohol dehydrogenase-like protein (AHRD V1 **** A9PHZ1_POPTR); contains Interpro domain(s)  IPR002085  Alcohol dehydrogenase superfamily, zinc-containing ",AT4G39330.1 ,"ATCAD9, CAD9 | CAD9 (CINNAMYL ALCOHOL DEHYDROGENASE 9); binding / catalytic/ oxidoreductase/ zinc ion binding | chr4:18291268-18292772 FORWARD", 398 bits (1023), e-111, 195/359 (54%)
Solyc06g054640.1.1,1.863479943,0.911686093,0.001148989,0.03671649,SL2.40ch06,33883081,33884400,"Plant-specific domain TIGR01615 family protein (AHRD V1 ***- B6TMA8_MAIZE); contains Interpro domain(s)  IPR006502  Protein of unknown function DUF506, plant ",AT2G38820.1 ,unknown protein | chr2:16222271-16223393 FORWARD, 143 bits (360),1.00E-34, 69/139 (49%)
Solyc02g031740.2.1,1.186828215,2.228845513,0.001156268,0.036786283,SL2.40ch02,17541404,17542497,phloem lectin (AHRD V1 ***- Q8L5A9_CUCSA),AT1G31200.1 ,ATPP2-A9 | ATPP2-A9 (Phloem protein 2-A9); carbohydrate binding | chr1:11146923-11147678 REVERSE, 115 bits (288),1.00E-26, 65/178 (36%)
Solyc05g052100.2.1,0.350994551,6.578238938,0.001156834,0.036786283,SL2.40ch05,61566143,61571553,Glutamate dehydrogenase (AHRD V1 **** Q94IA5_BRANA); contains Interpro domain(s)  IPR014362  Glutamate dehydrogenase ,AT5G07440.2 ,GDH2 | GDH2 (GLUTAMATE DEHYDROGENASE 2); ATP binding / glutamate dehydrogenase [NAD(P)+]/ glutamate dehydrogenase/ oxidoreductase | chr5:2356153-2358012 FORWARD, 736 bits (1900),0, 353/413 (85%)
Solyc06g063340.2.1,0.664088095,5.54920425,0.001159781,0.036786283,SL2.40ch06,36419095,36423610,cDNA clone J023065D24 full insert sequence (AHRD V1 ***- B7EKP5_ORYSJ); contains Interpro domain(s)  IPR012870  Protein of unknown function DUF1666 ,AT3G20260.1 ,structural constituent of ribosome | chr3:7064190-7065751 REVERSE, 450 bits (1157), e-126, 259/440 (58%)
Solyc03g080060.1.1,-1.244028626,1.845602559,0.001161451,0.036786283,SL2.40ch03,45489542,45491467,"Receptor-like kinase (AHRD V1 **** A7VM32_MARPO); contains Interpro domain(s)  IPR001220  Legume lectin, beta chain ",AT5G55830.1 ,"lectin protein kinase, putative | chr5:22594655-22596700 FORWARD", 264 bits (674),2.00E-70, 188/609 (30%)
Solyc09g074230.2.1,-0.927804523,2.806628313,0.001161852,0.036786283,SL2.40ch09,61501305,61505288,Glucose transporter 8 (AHRD V1 **** Q2KKJ3_SOLIN); contains Interpro domain(s)  IPR003663  Sugar/inositol transporter ,AT2G48020.1 ,"sugar transporter, putative | chr2:19644441-19647007 FORWARD", 709 bits (1831),0, 336/469 (71%)
Solyc07g053960.2.1,0.739701211,4.047991911,0.001164403,0.036799413,SL2.40ch07,59681394,59685078,"Ubiquitin-conjugating enzyme 23 (AHRD V1 *-*- D7L425_ARALY); contains Interpro domain(s)  IPR000608  Ubiquitin-conjugating enzyme, E2 ",AT1G53020.1 ,"UBC26, PFU3 | UBC26 (UBIQUITIN-CONJUGATING ENZYME 26); ubiquitin-protein ligase | chr1:19751372-19759474 REVERSE", 359 bits (921),2.00E-99, 197/430 (45%)
Solyc00g072800.2.1,-1.321181131,1.529202505,0.001167412,0.036826919,,,,,,,,,
Solyc00g013130.2.1,0.689362858,4.699862109,0.001220065,0.038417562,,,,,,,,,
Solyc05g005010.2.1,-0.596882234,5.478758348,0.001224103,0.038418641,SL2.40ch05,15635,18582,"Carboxyl-terminal proteinase (AHRD V1 ***- B4FXN3_MAIZE); contains Interpro domain(s)  IPR004314  Protein of unknown function DUF239, plant ",AT1G70550.1 ,unknown protein | chr1:26597510-26599888 FORWARD, 615 bits (1587), e-176, 285/372 (76%)
Solyc06g019200.2.1,-0.588873395,4.15307863,0.001224561,0.038418641,SL2.40ch06,14497192,14501561,Peptidase M50 family protein (AHRD V1 ***- D7LZ04_ARALY); contains Interpro domain(s)  IPR008915  Peptidase M50 ,AT5G05740.2 ,"ATEGY2, EGY2 | EGY2; metalloendopeptidase | chr5:1724023-1726859 REVERSE", 584 bits (1506), e-167, 299/472 (63%)
Solyc07g061730.2.1,1.324761875,2.496541359,0.001234131,0.03859128,SL2.40ch07,61917208,61918685,Gibberellin 2-oxidase (AHRD V1 **** A4GVL9_SOLLC); contains Interpro domain(s)  IPR005123  Oxoglutarate and iron-dependent oxygenase ,AT1G30040.1 ,ATGA2OX2 | ATGA2OX2 (GIBBERELLIN 2-OXIDASE); gibberellin 2-beta-dioxygenase | chr1:10537769-10539570 FORWARD, 384 bits (986), e-107, 187/333 (56%)
Solyc04g008900.2.1,-0.518683822,5.713511166,0.001235284,0.03859128,SL2.40ch04,2511229,2514610,"Fgenesh protein 60 (AHRD V1 **-- Q1ZY19_BETVU); contains Interpro domain(s)  IPR004158  Protein of unknown function DUF247, plant ",AT3G50170.1 ,unknown protein | chr3:18601857-18603738 REVERSE, 194 bits (494),7.00E-50, 143/430 (33%)
Solyc03g118540.2.1,1.613847142,1.28122199,0.001237328,0.03859128,SL2.40ch03,61483425,61486803,Protein TIFY 6B (AHRD V1 **-- TIF6B_ARATH); contains Interpro domain(s)  IPR010399  Tify ,AT3G17860.1 ,"JAZ3, JAI3, TIFY6B | JAZ3 (JASMONATE-ZIM-DOMAIN PROTEIN 3) | chr3:6119968-6122691 FORWARD", 148 bits (373),5.00E-36, 130/353 (36%)
Solyc05g012100.2.1,-0.306354806,6.725181266,0.001239026,0.03859128,SL2.40ch05,5311181,5315705,Fructokinase-like protein 2 (AHRD V1 **-- D9IWP0_NICBE); contains Interpro domain(s)  IPR011611  Carbohydrate/purine kinase ,AT1G69200.1 ,kinase | chr1:26016018-26018365 FORWARD, 615 bits (1587), e-176, 314/515 (60%)
Solyc12g062630.1.1,-0.46131286,4.999587302,0.00124192,0.038611609,SL2.40ch12,51811306,51812306,"30S ribosomal protein S2 chloroplastic (AHRD V1 ***- D2KLS7_OLEEU); contains Interpro domain(s)  IPR005706  Ribosomal protein S2, bacterial-type ",ATCG00160.1 ,RPS2 | Chloroplast ribosomal protein S2 | chrC:15013-15723 REVERSE, 144 bits (362),2.00E-35, 67/89 (75%)
Solyc09g015070.2.1,1.152214148,2.424126692,0.001246947,0.038664658,SL2.40ch09,7889720,7892947,Reductase 1 (AHRD V1 ***- Q6TY49_HYDMC); contains Interpro domain(s)  IPR020471  Aldo/keto reductase subgroup ,AT5G01670.1 ,"aldose reductase, putative | chr5:252000-253856 FORWARD", 470 bits (1209), e-133, 224/321 (69%)
Solyc01g103780.2.1,-0.694251086,3.855568013,0.001251039,0.038664658,SL2.40ch01,84064508,84066135,"TCP family transcription factor (AHRD V1 *-** A6MCZ2_9ORYZ); contains Interpro domain(s)  IPR005333  Transcription factor, TCP ",AT1G58100.1 ,"TCP family transcription factor, putative | chr1:21512680-21513885 REVERSE", 208 bits (530),5.00E-54, 148/330 (44%)
Solyc04g071300.1.1,-0.440656328,5.586159855,0.001251902,0.038664658,SL2.40ch04,55829174,55829593,"ATP synthase subunit alpha chloroplastic (AHRD V1 ***- D4PB96_PHODC); contains Interpro domain(s)  IPR018118  ATPase, F1/A1 complex, alpha/beta subunit, N-terminal ",ATCG00120.1 ,"ATPA | Encodes the ATPase alpha subunit, which is a subunit of ATP synthase and part of the CF1 portion which catalyzes the conversion of ADP to ATP using the proton motive force. This complex is located in the thylakoid membrane of the chloroplast. | chrC:9938-11461 REVERSE", 149 bits (376),4.00E-37, 87/139 (62%)
Solyc01g100570.2.1,-0.23148706,8.381373915,0.001252606,0.038664658,SL2.40ch01,82320225,82324027,"Nucleolar protein (AHRD V1 ***- Q9LTV0_ARATH); contains Interpro domain(s)  IPR002687  Pre-mRNA processing ribonucleoprotein, binding region ",AT1G56110.1 ,NOP56 | NOP56 (Arabidopsis homolog of nucleolar protein Nop56) | chr1:20984544-20986893 REVERSE, 763 bits (1969),0, 353/435 (81%)
Solyc09g064390.2.1,1.426473751,1.933170364,0.001255567,0.038686741,SL2.40ch09,57159220,57163576,Tetratricopeptide repeat protein 4 (AHRD V1 **-- B0WYL6_CULQU); contains Interpro domain(s)  IPR011990  Tetratricopeptide-like helical ,AT1G04130.1 ,tetratricopeptide repeat (TPR)-containing protein | chr1:1073465-1075374 FORWARD, 331 bits (849),3.00E-91, 157/238 (65%)
Solyc11g065250.1.1,-1.54494206,1.199167252,0.001267733,0.038940797,SL2.40ch11,47710375,47712495,Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7M989_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat ,AT5G39680.1 ,EMB2744 | EMB2744 (EMBRYO DEFECTIVE 2744) | chr5:15884236-15886368 REVERSE, 705 bits (1820),0, 338/694 (48%)
Solyc01g087140.2.1,0.436451444,6.864818256,0.001268334,0.038940797,SL2.40ch01,73828205,73832676,Harpin-induced protein (AHRD V1 *-*- B6TDG9_MAIZE),AT3G08490.1 ,unknown protein | chr3:2574105-2575125 REVERSE, 206 bits (523),2.00E-53, 100/207 (48%)
Solyc07g055170.1.1,-0.927215557,2.568625956,0.001286223,0.039370819,SL2.40ch07,60619009,60619866,"DNA repair protein XRCC3 (AHRD V1 *-*- D0NM20_PHYIN); contains Interpro domain(s)  IPR013632  Rad51, C-terminal ",AT5G57450.2 ,"XRCC3, ATXRCC3 | XRCC3; ATP binding / damaged DNA binding / protein binding / single-stranded DNA binding | chr5:23274008-23274922 REVERSE", 280 bits (717),6.00E-76, 151/302 (50%)
Solyc07g065920.2.1,0.714366594,4.460593868,0.001286912,0.039370819,SL2.40ch07,64725051,64727923,Ferredoxin-fold anticodon-binding domain-containing protein 1 (AHRD V1 *--* FDXA1_HUMAN); contains Interpro domain(s)  IPR019446  Domain of unknown function DUF2431 ,AT1G55790.1 ,ATP binding / nucleotide binding / phenylalanine-tRNA ligase | chr1:20853792-20856069 REVERSE, 238 bits (606),4.00E-63, 115/222 (51%)
Solyc02g094520.2.1,0.298597789,7.40999248,0.001292792,0.03948058,SL2.40ch02,49614028,49632724,Histone-lysine N-methyltransferase (AHRD V1 *-*- B6K768_SCHJY); contains Interpro domain(s)  IPR003105  SRA-YDG ,AT5G13960.1 ,"SUVH4, KYP, SDG33 | SUVH4 (SU(VAR)3-9 HOMOLOG 4); double-stranded methylated DNA binding / histone methyltransferase(H3-K9 specific) / methyl-CpG binding / methyl-CpNpG binding / methyl-CpNpN binding | chr5:4501688-4505979 FORWARD", 704 bits (1818),0, 358/657 (54%)
Solyc05g055210.1.1,0.536955347,4.453219907,0.001296459,0.039522504,SL2.40ch05,64100673,64101986,Eukaryotic peptide chain release factor subunit 1-3-like (AHRD V1 **** Q2VCK6_SOLTU); contains Interpro domain(s)  IPR004403  Peptide chain release factor eRF/aRF subunit 1 ,AT3G26618.1 ,ERF1-3 | ERF1-3 (eukaryotic release factor 1-3); translation release factor | chr3:9788854-9790161 FORWARD, 800 bits (2066),0, 385/437 (88%)
Solyc02g093290.2.1,0.490266649,4.967072336,0.001314028,0.039944872,SL2.40ch02,48771224,48779373,Nicotinate phosphoribosyltransferase-like protein (AHRD V1 **** Q6XQM5_MEDTR); contains Interpro domain(s)  IPR006405  Nicotinate phosphoribosyltransferase putative ,AT2G23420.1 ,NAPRT2 | NAPRT2 (NICOTINATE PHOSPHORIBOSYLTRANSFERASE 2); nicotinate phosphoribosyltransferase | chr2:9971819-9974909 FORWARD, 948 bits (2450),0, 445/544 (81%)
Solyc12g009040.1.1,1.400102734,1.383874261,0.001319171,0.039944872,SL2.40ch12,2335997,2339861,Long-chain-fatty-acid--CoA ligase 4 (AHRD V1 **** C0HA93_SALSA); contains Interpro domain(s)  IPR000873  AMP-dependent synthetase and ligase ,AT2G04350.2 ,long-chain-fatty-acid--CoA ligase family protein / long-chain acyl-CoA synthetase family protein (LACS8) | chr2:1516086-1519178 FORWARD, 1020 bits (2638),0, 477/675 (70%)
Solyc04g039940.1.1,-0.735406906,3.709112402,0.001319528,0.039944872,SL2.40ch04,30680282,30683513,Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7LHR6_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat ,AT2G35030.1 ,pentatricopeptide (PPR) repeat-containing protein | chr2:14761080-14762963 REVERSE, 679 bits (1753),0, 316/561 (56%)
Solyc03g096800.2.1,-0.26305095,9.016473949,0.001319591,0.039944872,SL2.40ch03,52599162,52609670,"At5g24290-like protein (Fragment) (AHRD V1 *-*- Q45H28_ARALY); contains Interpro domain(s)  IPR008217  Protein of unknown function DUF125, transmembrane ",AT4G27860.1 ,integral membrane family protein | chr4:13873808-13876240 FORWARD, 170 bits (430),6.00E-42, 89/196 (45%)
Solyc10g076760.1.1,1.591492636,1.528874923,0.001323027,0.039960844,SL2.40ch10,59044149,59046083,Receptor-like protein kinase (AHRD V1 ***- C6FF64_SOYBN); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase ,AT3G09010.1 ,protein kinase family protein | chr3:2750285-2752086 FORWARD, 526 bits (1354), e-149, 260/393 (66%)
Solyc01g107310.2.1,0.881706575,3.154056014,0.001324759,0.039960844,SL2.40ch01,86650094,86653299,Phosphatase 2C family protein (AHRD V1 ***- D7MFT9_ARALY); contains Interpro domain(s)  IPR015655  Protein phosphatase 2C ,AT4G33920.1 ,protein phosphatase 2C family protein / PP2C family protein | chr4:16260876-16262703 FORWARD, 237 bits (604),4.00E-63, 111/170 (65%)
Solyc03g007260.2.1,0.899841935,3.040105359,0.00133119,0.040084642,SL2.40ch03,1813353,1817349,Cyclic nucleotide-gated ion channel 1 (AHRD V1 **** B6U0R1_MAIZE); contains Interpro domain(s)  IPR005821  Ion transport ,AT5G53130.1 ,"CNGC1, ATCNGC1 | CNGC1 (CYCLIC NUCLEOTIDE GATED CHANNEL 1); calmodulin binding / cation channel/ cyclic nucleotide binding / intracellular cyclic nucleotide activated cation channel/ inward rectifier potassium channel | chr5:21537830-21540490 REVERSE", 587 bits (1514), e-168, 282/404 (69%)
Solyc11g005870.1.1,-0.979453706,2.491040238,0.001334337,0.040109296,SL2.40ch11,691719,702561,"Os03g0169000 protein (Fragment) (AHRD V1 ***- Q0DUS7_ORYSJ); contains Interpro domain(s)  IPR004348  Protein of unknown function DUF246, plant ",AT5G64600.1 ,unknown protein | chr5:25825178-25827931 FORWARD, 682 bits (1759),0, 329/493 (66%)
Solyc01g109270.2.1,-1.137152138,2.078409799,0.001347721,0.040310461,SL2.40ch01,88018018,88020994,Ternary complex factor MIP1 (AHRD V1 **-- B6UE27_MAIZE); contains Interpro domain(s)  IPR006869  Protein of unknown function DUF547 ,AT5G66600.3 ,unknown protein | chr5:26575105-26578315 REVERSE, 356 bits (913),2.00E-98, 217/500 (43%)
Solyc03g111870.2.1,0.560935563,4.786472787,0.001350001,0.040310461,SL2.40ch03,56519079,56524942,Copine-like protein (AHRD V1 ***- Q153E2_ORYSJ); contains Interpro domain(s)  IPR010734  Copine ,AT5G14420.2 ,RGLG2 | RGLG2 (RING domain Ligase2); ubiquitin-protein ligase | chr5:4648355-4650563 REVERSE, 609 bits (1570), e-174, 299/411 (72%)
Solyc10g017890.1.1,-0.381758672,6.700771347,0.001350221,0.040310461,SL2.40ch10,6075874,6078763,Photosystem I P700 chlorophyll a apoprotein (AHRD V1 ***- B9RL07_RICCO); contains Interpro domain(s)  IPR001280  Photosystem I psaA and psaB ,ATCG00350.1 ,PSAA | Encodes psaA protein comprising the reaction center for photosystem I along with psaB protein; hydrophobic protein encoded by the chloroplast genome. | chrC:39605-41857 REVERSE, 265 bits (676),3.00E-71, 136/198 (68%)
Solyc09g082990.2.1,-0.304237296,8.251188315,0.001350391,0.040310461,SL2.40ch09,64083974,64088590,"GDP-D-mannose-3í¢ŒóŒ»,5í¢ŒóŒ»-epimerase 2",AT5G28840.1 ,"GME | GME (GDP-D-MANNOSE 3',5'-EPIMERASE); GDP-mannose 3,5-epimerase/ NAD or NADH binding / catalytic | chr5:10862472-10864024 REVERSE", 721 bits (1861),0, 341/377 (90%)
Solyc03g115980.1.1,-0.495691291,7.474218537,0.001356079,0.040368457,SL2.40ch03,59589011,59590405,"Geranylgeranyl reductase (AHRD V1 ***- Q1ZYL0_OLEEU); contains Interpro domain(s)  IPR011774  Geranylgeranyl reductase, plants and cyanobacteria ",AT1G74470.1 ,geranylgeranyl reductase | chr1:27991248-27992845 FORWARD, 759 bits (1960),0, 377/467 (80%)
Solyc05g052760.2.1,0.452483441,5.227115213,0.001357021,0.040368457,SL2.40ch05,62099696,62104689,"1-phosphatidylinositol-4 5-bisphosphate phosphodiesterase (AHRD V1 ***- O49902_NICRU); contains Interpro domain(s)  IPR017946  PLC-like phosphodiesterase, TIM beta/alpha-barrel domain ",AT3G08510.2 ,ATPLC2 | ATPLC2 (PHOSPHOLIPASE C 2); phospholipase C | chr3:2582626-2585556 REVERSE, 839 bits (2167),0, 404/587 (68%)
Solyc02g081270.2.1,0.545706907,4.948956598,0.001365845,0.040560876,SL2.40ch02,39877970,39887403,NAC domain protein IPR003441 (AHRD V1 ***- B9MWW7_POPTR); contains Interpro domain(s)  IPR003441  No apical meristem (NAM) protein ,AT1G65900.1 ,unknown protein | chr1:24516023-24518325 REVERSE, 502 bits (1292), e-142, 253/412 (61%)
Solyc11g072110.1.1,-0.821643156,3.972638103,0.001370963,0.040611961,SL2.40ch11,52455435,52457149,1-AMINOCYCLOPROPANE-1-CARBOXYLATE OXIDASE-like protein (AHRD V1 **-- Q94CL5_ARATH); contains Interpro domain(s)  IPR005123  Oxoglutarate and iron-dependent oxygenase ,AT1G55290.1 ,"oxidoreductase, 2OG-Fe(II) oxygenase family protein | chr1:20626208-20627397 REVERSE", 356 bits (913),2.00E-98, 166/358 (46%)
